"apicd","apinm","doculink","docunm"
"15094334",문화재청 국립무형유산원_공예품 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484080&fileDetailSn=1,"17.[참고]기술문서_공예품 정보.docx"
"15094778",식품의약품안전처_진단시약 수출량 등 보고 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482002&fileDetailSn=1,IROS_389_진단시약수출량등보고현황_v1.0-수정.docx
"15094322",문화재청 국립무형유산원_무형문화재 체험교육 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479469&fileDetailSn=1,"13. [참고]기술문서_무형문화재 교육 정보-수정.docx"
"15094491",충청북도_30억 이상 주요사업현황 국고보조사업,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483760&fileDetailSn=1,OpenAPI활용가이드_[충청북도_30억 이상 주요사업현황 국고보조사업]_v1.0.docx
"15094313",문화재청 국립무형유산원_무형유산 음원자료 디지털 해설서 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484087&fileDetailSn=1,"4. [참고]기술문서_음원자료 디지털 해설서.docx"
"15094457",식품의약품안전처_마스크 관련 업체 행정처분 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002480532&fileDetailSn=1,IROS_383_마스크 관련 업체 행정처분 정보_v1.0.docx
"15095149",기상청_영향예보_조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002485594&fileDetailSn=1,기상청44_영향예보_조회서비스_오픈API활용가이드.docx
"15094804",식품의약품안전처_코로나19 관련 검사기기 GMP지정 승인정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482060&fileDetailSn=1,IROS_394_코로나19관련검사기기GMP지정승인정보_v1.0-수정.docx
"15094803",식품의약품안전처_코로나19 검사관련 의료기기 동등제품 및 형명정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482059&fileDetailSn=1,IROS_393_코로나19검사관련의료기기동등제품및형명정보_v1.0-수정.docx
"15094460",대구광역시_가로망주정차현황정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002486828&fileDetailSn=1,기술문서_가로망주정차현황정보서비스_활용_가이드.docx
