apicd,apiname,opercd,opername
15006360,한국사회보장정보원_장애인 편의시설 현황,9881,장애인편의시설정보
15015153,한국노인인력개발원 노인 구인정보,15808,100세누리 구인정보 상세 정보 조회
15020284,국민연금공단_탈퇴사업장 정보,14918,기본정보조회
15021027,건강보험심사평가원_의약품성분약효정보조회서비스,24816,주성분명칭코드목록조회
15021028,건강보험심사평가원_수가기준정보조회서비스,24811,약국수가목록조회
15034213,국립암센터_암검진자 코호트 메타 정보,21489,암검진자 코호트 검사 메타 정보조회
15034215,국립암센터_암검진자 코호트 집계 정보,32143,"암검진자 코호트 연령별, 성별별 암 발생 건수 정보조회"
15042567,국립암센터_암종별_레지스트리_메타_정보,21485,간암 레지스트리 메타 정보조회
15042595,국립암센터_유방암_라이브러리_집계정보,23883,유방암 기타 약제 처방 종류별 집계 지표
15042596,국립암센터_갑상선암_라이브러리_집계정보,23896,갑상선암 방사선치료 집계 지표
15042597,국립암센터_난소암_라이브러리_집계정보,23912,난소암 방사선치료목적 종류별 집계 지표
15043078,건강보험심사평가원_코로나19병원정보(국민안심병원 외)서비스,24752,코로나-19관련 병원 운영기관 목록
3047333,국민연금공단_장애연금심사현황,14906,심사현황정보조회
3075061,한국사회보장정보원_ 사회서비스 제공기관 품질평가 정보,25060,사회서비스 제공기관 품질평가 정보 조회
15059653,건강보험심사평가원_의료영상진료정보조회서비스,24417,의원영상진료정보목록조회
15043565,기상청_태풍정보 조회서비스,23461,태풍예상정보조회
15085289,기상청_보건기상지수 조회서비스(3.0),33630,천식폐질환가능지수조회
15085288,기상청_생활기상지수 조회서비스(3.0),33624,자외선지수조회
15084084,기상청_단기예보 조회서비스,32583,초단기실황조회
15043588,기상청_수치모델자료(경량화) 조회서비스,23666,국지예보모델단일면한반도조회
15000415,기상청_기상특보 조회서비스,23458,특보현황조회
15000420,기상청_지진정보 조회서비스,23493,지진해일통보문 목록조회
15056912,기상청_관광코스별 관광지 상세 날씨 조회서비스,23488,시군구별관광기후지수조회
15056924,기상청_레이더영상 조회서비스,23433,레이더개별영상조회
15057111,기상청_예보구역정보 조회서비스,23611,예보구역코드조회
15057166,기상청_레이더관측자료 조회서비스,24135,레이터강수량(전국)조회
15057210,"기상청_지상(종관, ASOS) 시간자료 조회서비스",25249,기상관측시간자료목록조회
15057260,기상청_지상기상월보 조회서비스,23510,일별항공기상자료조회
15057256,기상청_낙뢰분포도 조회서비스,23392,낙뢰분포도조회
15057966,기상청_CCTV 기반 도로날씨정보 조회서비스,23485,표준노드링크별도로날씨조회
