FILE_000000002449574,대전광역시_공중위생 특사경 지명분야 ’21년 세부 추진계획_20210101.csv
FILE_000000002446945,서울시립승화원 연도별 봉안 안치현황.csv
FILE_000000002437474,인천광역시 미추홀구_공공기관_20210914.csv
FILE_000000002344543,제주특별자치도_시간대별_관광객_지번(PNU)단위_유동인구_비율포함_20151231.zip
FILE_000000002433999,인천광역시 남동구_문화유통업 행정처분 내역_20210908.csv
FILE_000000002437003,한국가스공사_발전용 국가수요실적_20201231.csv
FILE_000000002429658,지하수 이용부담금 통계.csv
FILE_000000002442514,국가평생교육진흥원_학점은행제정보시스템_자격학점관리_자격증별학습과목.csv
FILE_000000002439646,지하수 불용공 현황_전국.csv
FILE_000000002437960,국가평생교육진흥원_학점은행제정보시스템_게시물.csv
FILE_000000002449426,인천광역시_서구_문자발송시스템 발송 현황_20210915.csv
FILE_000000002438094,경상북도 안동시_출산장려금지급액수내역_20210914.csv
FILE_000000002449704,홈페이지 2020년 월별 방문자수.csv
FILE_000000002441484,대전광역시_동구_동물병원_20210920.csv
FILE_000000002446764,농업정책보험금융원 농작물재해보험 논작물 품목명, 품종명 현황_20201231.csv
FILE_000000002413612,저공해차정보(2021).zip
FILE_000000002448199,울산광역시_도시경관기록_표준기록점_20210929.csv
FILE_000000002437103,어린이집_현황(2021.09.10).csv
FILE_000000002432094,경상남도_하동군_장애인일자리 현황_20210901.csv
FILE_000000002436331,재활용가능자원.csv
FILE_000000002433159,행정규제목록_20210907.csv
FILE_000000002438749,인천광역시 미추홀구_기부금 접수현황_20210914.csv
FILE_000000002434498,과천시 대기업 현황.csv
FILE_000000002442894,2020연차보고서 2020년 만기, 투자자별 MBS 투자현황.csv
FILE_000000002430113,경상북도_의성군_지방세비과감면율현황_20191231.csv
FILE_000000002438841,경상남도_거제시_의료기기 판매업소_20210915.csv
FILE_000000002439175,대구광역시_서구_동별 기초수급자 현황.csv
FILE_000000002437858,해양수산부_항만건설사업 참여기술자 목록.csv
FILE_000000002433294,광주광역시 보훈대상자 인원현황(2021년 8월말 기준).csv
FILE_000000002441427,1718코리아유니크베뉴_190927.zip
FILE_000000002445428,업종별 피폭선량 구간별 종사자 분포현황.csv
FILE_000000002440178,대구광역시_서구_청소년 이용시설 현황.csv
FILE_000000002437480,전라남도 영암군_농산물산지유통센터_20210914.csv
FILE_000000002449263,행복도시 스마트 인프라 사업 현황.csv
FILE_000000002413947,광주광역시_노인요양시설 및 양로시설 현황.zip
FILE_000000002447031,전라남도 고흥군_가축인공수정소.csv
FILE_000000002443088,인천광역시 서구_전자부품 제조업체_20210923.csv
FILE_000000002442485,경찰청 전라북도경찰청_소년범죄 연도 유형별 검거 인원 현황_20201231.csv
FILE_000000002445838,방사성동위원소내장기기연도별국가별수입현황.csv
FILE_000000002434447,대전광역시_중구_지방세징수현황_20191231.csv
FILE_000000002443243,인천광역시 서구_승강기 제조업체_20210923.csv
FILE_000000002430456,부산광역시_동래구_지방세 체납현황_20191231.csv
FILE_000000002433288,경기도 보훈대상자 인원현황(2021년 8월말 기준).csv
FILE_000000002435384,인천광역시_중구_쓰레기 무단투기 예방 꽃박스 설치 현황_20210805.csv
FILE_000000002442700,서울특별시_용산구_출산장려금지급현황_20210915.csv
FILE_000000002383344,제주특별자치도 서귀포시 감귤생산 정보_2021년4월14일.zip
FILE_000000002433357,보호구_인증현황.csv
FILE_000000002446814,환경통계 간행물 목록 정보.csv
FILE_000000002433697,제주특별자치도 서귀포시_공영관광지통합예약이용정보_20210831.csv
FILE_000000002450289,프로그램등록부.zip
FILE_000000002447932,인천광역시 남동구_화장품 제조업체 현황_20210929.csv
FILE_000000002442659,충청북도 단양군_강우정보시스템_장비목록.csv
FILE_000000002448079,인천광역시 남동구_축산물유통전문업 현황_20210929.csv
FILE_000000002451997,2012년_2014년 원자력안전연구 특허 성과 현황.csv
FILE_000000002435472,건설공종별_체크리스트.csv
FILE_000000002443127,인천광역시 서구_도금업 제조업체_20210923.csv
FILE_000000002441468,울산시설공단_야생동물 구조현황_20210913.csv
FILE_000000002443258,농림R&D 과제정보(농림식품 수의).csv
FILE_000000002433722,인천광역시 남동구_환경오염 자율점검업소 지정현황_20210908.csv
FILE_000000002447070,RT00300326_2019년 쌀소득등보전직불제 금액성별별 직불금 농가현황 (신청, 지급).csv
FILE_000000002437546,인천광역시 미추홀구_석면해체제거업자 현황_20210914.csv
FILE_000000002432703,인천광역시 남동구_예산정보 세입현황_20210907.csv
FILE_000000002450769,주민자치회 시범사업 현황.csv
FILE_000000002448148,지식재산관련 발간자료.csv
FILE_000000001415227,스마트그리드 핵심기기 보급현황((재)한국스마트그리드사업단 수행사업 기준).zip
FILE_000000002443860,국가평생교육진흥원_학점은행제정보시스템_평가인정항목_체크리스트.csv
FILE_000000002434061,인천광역시 남동구_주민참여예산 유형별 분류_20210908.csv
FILE_000000001394991,2017년도 전국 헌혈의집 주소_170901.csv
FILE_000000002450219,인천광역시 미추홀구_고시학원 현황_20210930.csv
FILE_000000002436160,대구광역시_서구_신생아BCG무료접종의료기관_20210913.csv
FILE_000000002441677,인천광역시 부평구_동별 세대수 현황_20210917.csv
FILE_000000002446653,한국직업능력연구원_국가전문자격정보_2021.csv
FILE_000000002437080,경찰서별 112 순찰차 현황_2020년.csv
FILE_000000002450921,대전광역시_먹는물관련 영업허가 및 신고현황_20210101.csv
FILE_000000002444756,마약사범 단속현황.csv
FILE_000000002435464,국민행복기금 매입계좌 보유 현황.csv
FILE_000000002444512,전라북도_남원시_무인민원발급기현황.csv
FILE_000000002433749,인천광역시 남동구_정신보건법위반기관지도점검결과_20210908.csv
FILE_000000002445707,광주광역시_서구_교통위반과태료이의신청현황_20210927.csv
FILE_000000002426514,경상남도_하동군_공동주택 현황_20210826.csv
FILE_000000002444083,10. 통계청_MDIS_응답그룹.csv
FILE_000000002435429,인천광역시_중구_옐로카펫_20210805.csv
FILE_000000002445217,농림식품기술기획평가원_식품 유통 R&D논문정보_20151216.csv
FILE_000000002443094,인천광역시 서구_절삭가공 및 유사처리 제조업체_20210923.csv
FILE_000000002450216,목재제품별 종사자 수.csv
FILE_000000002445895,5. 산림복지전문업지원시스템 기타정보.csv
FILE_000000002432624,경기도_의정부시_1인당 지방세 부담액_20191231.csv
FILE_000000002444509,전라북도_남원시_모범음식점.csv
FILE_000000002432241,공유마당_통합회원.zip
FILE_000000002448046,인천광역시_서구_소독업소 현황_20210901.csv
FILE_000000002448487,인천광역시_서구_행정구역_20210901.csv
FILE_000000002381855,대구광역시 서구_일반건축물시가표준액.zip
FILE_000000002443986,대전광역시_서구_대형폐기물 배출 처리 현황_20210924.csv
FILE_000000002448328,전라남도 고흥군_제과점영업.csv
FILE_000000002443073,연도별 119구급대 현황.csv
FILE_000000002440190,대구광역시_서구_직업소개소 정보_20210914.csv
FILE_000000002445690,경상북도 김천시_자전거보관소_20210831.csv
FILE_000000002444750,오염원별 해양오염사고 발생현황.csv
FILE_000000002441984,부산광역시 영도구_이용원 현황_20210923.csv
FILE_000000002435123,토지이용계획표(남양주왕숙2).csv
FILE_000000002443028,의정부시 공영주차장현황.csv
FILE_000000002433935,전라남도_여수시_부동산중개업등록현황_20210908.csv
FILE_000000002435427,국민행복기금 비용구분별 지급현황.csv
FILE_000000002448261,대전광역시_소방사범 발생 및 조치현황_20201231.csv
FILE_000000002386382,한국광물자원공사_광물가격기술적분석.zip
FILE_000000002441114,방위사업청_신기술 입찰공고 사업_20210915.csv
FILE_000000002448392,인천광역시_서구_보육교사 현황_20210907.csv
FILE_000000001353945,하이패스 차로 시행 사회적 편익_2010년~2014년.zip
FILE_000000002442917,10 임부연령금기약물.csv
FILE_000000002449287,국립생태원_기관대표홈페이지게시물_포토갤러리.csv
FILE_000000002377633,전라남도_무안군_지방세납세자현황_20191231.csv
FILE_000000002448074,인천광역시_서구_동별 독거노인 현황_20210901.csv
FILE_000000002328372,강원도_강릉시_흡연단속장소 정보.zip
FILE_000000002430392,KLRI_설문조사.csv
FILE_000000002443111,인천광역시 서구_구조용 금속판 제조업체_20210923.csv
FILE_000000002419189,[인천공항]2018년_여객기 동계 표준운항 도착 스케줄 (다국어).zip
FILE_000000002445814,인천광역시_서구_점포_준대규모 점포_20210923.csv
FILE_000000002448356,인천광역시_서구_전문건설업 현황_20210907.csv
FILE_000000002395699,소득데이터.zip
FILE_000000002436007,메이크올 공휴일 관리.csv
FILE_000000002433448,법무부_진정사건 접수 및 처리현황(2016~2020).csv
FILE_000000002435473,기획재정부_중앙관서별_국유지_현황_연간.CSV
FILE_000000002429988,인천광역시_중구_자원봉사자 할인가맹점 현황_20210805.csv
FILE_000000002447795,서울특별시_강북구_가정폐기물현황_20200926.csv
FILE_000000002432804,한국동서발전(주)_중소기업 산업혁신운동 지원사업 현황_20201231.csv
FILE_000000002382677,제주특별자치도_제주시_일반건축물시가표준액_20200601.zip
