"APICD","APINM","ORGANNM","DATAFORMMAT","DOCXNAME","APITYPE","DETAILPK"
"15077746",국민권익위원회_반부패분석결과서비스,국민권익위원회,XML,API기술문서 - 반부패현황판정보_수정본_20210503.docx,REST,uddi:b83f85fb-6c69-4697-b0bc-ab8d7ef7d9ed_202105031509
"15059594",금융위원회_금융회사재무신용정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사재무신용정보.docx,REST,uddi:237f7cdf-1e35-4265-b6ae-d2669b99184b
"15059604",금융위원회_모기지론기초자산정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_모기지론기초자산정보.docx,REST,uddi:0543fc6e-b179-4506-9e02-90110bf16ad8
"15059606",금융위원회_금융회사부보정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사부보정보.docx,REST,uddi:82b931cb-a556-4784-ae20-9f46441def9e
"15061336",금융위원회_금융통계신기술금융사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계신기술금융사정보.docx,REST,uddi:93a2dc85-857e-4461-a06d-b8176ec11673_202007151831
"15061358",금융위원회_금융통계투자자문사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계투자자문사정보.docx,REST,uddi:e314416e-39fd-497d-94e5-bc7fb352a638_202007151910
"15079660",공정거래위원회_전화권유판매사업자 등록상세 제공 서비스,공정거래위원회,JSON+XML,"10.전화권유판매사업자 등록상세 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:2ced5dbc-1402-49f2-8951-91bbf45cea3c
"15079697",공정거래위원회_전화권유판매사업자 등록현황 통계 제공 서비스,공정거래위원회,JSON+XML,"12.전화권유판매사업자 등록현황 통계 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:9d8a0725-0db3-4d74-a5b1-c0cb80e3f9bb
"15079814",공정거래위원회_후원방문판매사업자 정보 제공 서비스,공정거래위원회,JSON+XML,"27.후원방문판매사업자 목록 정보제공 서비스 활용 가이드_v1.0.docx",REST,uddi:5f0cfa3a-e979-4606-9c15-b7917bc24485
"15079824",공정거래위원회_방문판매법위반사업자 정보공개 제공 서비스,공정거래위원회,JSON+XML,"31.방문판매법위반사업자 정보공개 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:b5a5f4e9-1f90-45b7-80e0-86edac685c5d
"15079681",공정거래위원회_방문판매사업자 등록현황 제공 서비스,공정거래위원회,JSON+XML,"13.방문판매사업자 등록현황 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:2e15bf76-925a-4d5d-9403-d859b05c442a
"15058154",해양수산부_사전환경성 정보 서비스,해양수산부,JSON+XML,"2.사전환경성_정보_서비스_활용_가이드.docx",REST,uddi:89828a8c-2d39-4159-972e-a095c7d92c93_202010051001
"15043360",금융위원회_크라우드펀딩중개업자정보,금융위원회,JSON+XML,오픈API 활용자가이드_크라우드펀딩중개업자정보_수정.docx,REST,uddi:6db318ec-8110-4180-b5b9-fd0977b21497_202006091506
"15000115",법제처 국가법령정보 공유서비스,법제처,XML,국가법령정보공유서비스_GW_Open API 활용가이드.docx,REST,uddi:29d0df22-d19b-4f67-8cf2-b7e37042d77b_201805111431
"15075826",해양수산부_지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값,해양수산부,XML,지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값_기술문서.docx,REST,uddi:4e8ad71f-187d-4c4c-ba82-fc0ab9b2a600_202102051634
"15079311",통일부_북한 동향 조회 서비스,통일부,JSON,통일부 공공데이터 오픈API 활용가이드_북한 동향 조회 서비스.docx,REST,uddi:9a14f266-b124-405d-b243-8346d2e812d7_202104131747
"15058024",외교부_국가별 공지사항 목록조회,외교부,XML,기술문서_OpenAPI활용가이드_외교부_국가·지역별 공지사항정보_v1.7.docx,REST,uddi:7f16a123-52a6-4bcc-8c57-844043a98931
"15076242",외교부_국가∙지역별 현지연락처,외교부,JSON,"17.기술문서_외교부_국가_지역별_현지연락처_v1.1.docx",REST,uddi:cfe6edc8-5fc9-4b22-a582-8c88fd3030e0_202102242127
"15000830",외교부_국가별 기본정보,외교부,XML,기술문서_국가·지역별 기본정보_v1.7.docx,REST,uddi:0ef5a708-4ce9-4d40-b564-a4724ba7102c
"15075713",해양수산부_해양공간범위,해양수산부,XML,해양공간의범위_기술문서.docx,REST,uddi:426c1731-b261-4b2e-bbc5-d0006f3cc840_202102051540
"15075850",해양수산부_해양용도구역_항만항행,해양수산부,XML,해양용도구역_항만항행_기술문서.docx,REST,uddi:cd291379-e2b3-43e5-a8f8-a38b0a0acffa_202102051624
"15074871",해양수산부_전남-특성평가격자,해양수산부,XML,전남-특성평가격자_기술문서.docx,REST,uddi:56399e35-9b68-4cd3-b7d6-875ed1730383_202102051543
"3056955",해양수산부_항만시설사용정보,해양수산부,XML,DAT211_오픈API활용가이드_항만시설사용신고정보.docx,REST,uddi:e2069770-0594-4b73-bb5f-bf87e2b8ea6e
"15056684",조달청_공공조달통계정보서비스,조달청,XML,조달청_OpenAPI활용가이드_공공조달통계정보서비스_1.3.docx,REST,uddi:0f44ce11-cfd5-491c-bf73-ed9de8f08e92
"15058985",조달청_누리장터 민간낙찰정보서비스,조달청,JSON+XML,조달청_OpenAPI활용가이드_누리장터_민간낙찰정보서비스_1.1.docx,REST,uddi:cff02826-0f1b-4ba7-811b-871799bf4b53
"15077107",국립암센터_신장암 라이브러리 항암치료 주성분,국립암센터,JSON+XML,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(19)항암치료_주성분.docx,REST,uddi:dc3b1960-2749-408b-b31f-f43f5c218a09
"15077041",국립암센터_폐암 라이브러리 환자 음주여부,국립암센터,JSON+XML,국립암센터_폐암_집계정보_조회서비스_오픈API활용가이드_(4)환자_음주여부.docx,REST,uddi:540b7fd2-d004-4e56-a7e4-f50837922fba_202103031401
"15001672",국민건강보험공단_검진기관별 정보제공,국민건강보험공단,JSON+XML,IROS4_OA_DV_0401_OpenAPI활용가이드_05.국민건강보험공단(국가건강검진기관정보)_v1.3.docx,REST,uddi:198d2f83-9dc4-4af0-977f-c6c70e47dcca_201412191407
"15076760",국립암센터_대장암 라이브러리 면역병리 HMSH2 검사결과,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(21)면역병리_HMSH2검사결과.docx,REST,uddi:319a77ed-54e6-49f5-b9db-95219a1fe7a0_202102041440
"15076756",국립암센터_대장암 라이브러리 수술 종류별,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(18)수술_종류별.docx,REST,uddi:af8d4329-bb2e-4ab7-b08b-c85bad3fd512_202102041443
"15000576",국립중앙의료원_전국 약국 정보 조회 서비스,국립중앙의료원,XML,NIA-IFT-OpenAPI활용가이드-01.국립중앙의료원-약국정보조회서비스.hwp,REST,uddi:30784568-4851-41d2-b770-a3844c1c3cd4_201703161326
"15079811",공정거래위원회_다단계판매사업자 정보 제공 서비스,공정거래위원회,JSON+XML,"25.다단계판매사업자 정보 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:7505751d-8d8c-4eb0-ade1-ce992bab0352
"15061325",금융위원회_금융통계자산운용사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계자산운용사정보.docx,REST,uddi:7d235408-3bfc-4187-8ad0-9bb56a357e4b_202007151913
"15059593",금융위원회_금융회사지배구조정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사지배구조정보.docx,REST,uddi:bf33d73c-a917-4538-a018-f78fa9ea094a
"15074706",해양수산부_격자3단계,해양수산부,XML,격자3단계_기술문서.docx,REST,uddi:6328eaeb-b292-4f9b-ac5a-ebf0f189dc27_202102051448
"15074088",해양수산부_낚시 어선업 신고정보,해양수산부,JSON+XML,[참고]기술문서양식[낚시어선 신고정보 API].docx,REST,uddi:d75b93c5-3899-42ab-a852-83c570770b81_202012031622
"15079225",통일부_북한정보포털 통합검색 서비스,통일부,JSON,통일부 공공데이터 오픈API 활용가이드_북한정보포털 통합검색 서비스.docx,REST,uddi:18d6c6b4-c064-49be-b5a4-f940d7629235_202104081650
"15076237",외교부_국가∙지역별 여행경보,외교부,JSON,"15.기술문서_외교부_국가_지역별_여행경보_v1.1.docx",REST,uddi:2c0c9c11-ed06-408b-b4cb-c03d6e386fec_202102242143
"15076234",외교부_국가∙지역별 일반정보,외교부,JSON,"1.기술문서_외교부_국가_지역별_일반정보_v1.1.docx",REST,uddi:7d5985bc-a628-4b18-896b-eb091c54183c_202102242107
"15075721",해양수산부_연속정보 수온 (3분),해양수산부,XML,연속정보 수온(3분)_기술문서.docx,REST,uddi:76c439c1-b4a9-4d9e-a647-f4e03d1d09e6_202102051618
"15074727",해양수산부_남해안 EEZ-특성평가격자,해양수산부,XML,남해안EEZ-특성평가격자_기술문서.docx,REST,uddi:de33060d-70a1-4672-860f-81105c8c327b_202102051611
"15074869",해양수산부_울산_특성평가격자,해양수산부,XML,울산-특성평가격자_기술문서.docx,REST,uddi:3f4988c6-4dd0-4a49-b79f-99926acaac41_202102051551
"15074699",해양수산부_격자2단계,해양수산부,JSON+XML,격자2단계_기술문서.docx,REST,uddi:b5719f22-d40c-442b-8d5b-b2dc1dfa6f1f_202102181416
"3078812",관세청_신성질별 국가별 수출입실적,관세청,XML,OpenAPI활용가이드_08.관세청(신성질별 국가별 수출입실적 서비스)_v2.7.zip,REST,uddi:ab18f9f0-2a84-427b-9933-c27c474a58d1
"15058054",조달청_나라장터 계약과정통합공개서비스,조달청,XML,조달청_OpenAPI활용가이드_나라장터_계약과정통합공개서비스_1.5.docx,REST,uddi:81b774ed-6404-46bd-8b6d-cc8922e66924_201610251431
"3066755",병무청_인터넷입영원계획,병무청,XML,_MMA_OPENAIP_0002+인터넷입영원계획_v1.0.docx,REST,uddi:b1f5b808-c170-4f0d-a631-a424461dbfc1
"15076999",국립암센터_대장암 라이브러리 진단검사 종류별,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(15)진단검사_종류별.docx,REST,uddi:7bdebe15-abc2-4b6a-bdde-f5cc89062ae1_202102091532
"15076771",국립암센터_신장암 라이브러리 환자 결핵 병력 여부,국립암센터,JSON+XML,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(9)환자_결핵_병력_여부.docx,REST,uddi:6c296b2a-4964-488e-99d1-f62697c38aeb_202102090930
"15001701",건강보험심사평가원_진료행위정보서비스,건강보험심사평가원,XML,OpenAPI활용가이드_건강보험심사평가원(진료행위정보서비스)_수정.docx,REST,uddi:47efa353-a4c7-462e-a53f-847ae034f2ed_202006091318
"15076778",국립암센터_대장암 라이브러리 분자병리 KRASMUTATION 검사결과,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(23)분자병리KRASMUTATION검사결과.docx,REST,uddi:5e5cd2fa-1d0a-419b-8329-90c7c0ab4929
"15054445",건강보험심사평가원_약가기준정보조회서비스,건강보험심사평가원,XML,OpenAPI활용가이드_건강보험심사평가원(약가기준정보조회서비스)_수정.hwp,REST,uddi:25918b0f-0b41-4047-a58e-e0c189073810_202006091354
"15076720",국립암센터_신장암 라이브러리 환자 음주여부,국립암센터,JSON+XML,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(4)환자_음주여부.docx,REST,uddi:8451c46a-4f99-4bf7-a5b9-986ca75f9b38_202102090922
"15076740",국립암센터_대장암 라이브러리 환자 당뇨병 병력 여부,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(8)환자_당뇨병_병력_여부.docx,REST,uddi:4ccf0a50-9a61-4792-b9cb-acd85ede2950_202102041425
"15077681",한국사회복지협의회_봉사활동정보 조회,한국사회복지협의회,,오픈API 활용가이드(VMS) v1.3.docx,REST,uddi:045679fe-fa22-4f7e-9051-c7d9432bd82d_202103171358
"15077054",국립암센터_폐암 라이브러리 환자 심장질환 병력 여부,국립암센터,JSON+XML,국립암센터_폐암_집계정보_조회서비스_오픈API활용가이드_(12)환자_심장질환_병력_여부.docx,REST,uddi:ef821541-e71b-4871-9bc4-99a6bf953973
"15077109",국립암센터_대장암 라이브러리 합병증진단합병증 종류별,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(14)합병증진단합병증_종류별.docx,REST,uddi:3e2e2ee3-0e9c-4d4b-a248-e0ff6e49a78c
"15031295",병무청_모집병 군지원 접수현황,병무청,XML,MMA_OPENAIP_0019 병무청_모집병 군지원 접수현황_v2.0.docx,REST,uddi:1b404457-85e5-41dd-8b20-a65838246ab5
"3066488",병무청_군사특기마스타,병무청,XML,_MMA_OPENAPI_0004+군사특기마스타_v1.0.docx,REST,uddi:423cd458-0987-4903-b720-b23fbaba8ed5
