id,organ,col
F100018406,한국전자통신연구원,7
F100036377,경기도 과천시,25
F100066299,예금보험공사,7
F100030779,인천광역시,6
F100051670,경상북도,13
F100034166,울산광역시 북구,18
F100020299,서울특별시 구로구,25
F100047043,전라북도 전주시,6
F100046497,전라북도 완주군,7
F100007063,신용보증재단중앙회,13
F100024271,부산광역시 사상구,5
F100040401,강원도 횡성군,21
F100023365,부산광역시 남구,4
F100037853,경기도 양평군,26
F100026859,대구광역시,7
F100021242,서울특별시 동작구,13
F100037841,경기도 구리시,26
F100051388,경상북도 의성군,3
F100051390,경상북도 의성군,15
F100051392,경상북도 의성군,5
F100051394,경상북도 의성군,6
F100040582,강원도 삼척시,19
F100039917,강원도 삼척시,12
F100040772,강원도 삼척시,17
F100019541,인사혁신처,4
F100003784,경찰청 대구광역시경찰청,11
F100063505,사립학교교직원연금공단,4
F100058411,공무원연금공단,14
F100058415,공무원연금공단,14
F100022409,서울특별시 성동구,5
F100058416,공무원연금공단,10
F100061702,사립학교교직원연금공단,5
F100012377,한국산업인력공단,13
F100063690,신용보증기금,5
F100054226,경상남도,6
F100038892,경기도 양평군,8
F100054814,경상남도,30
F100038896,경기도 양평군,7
F100023964,부산광역시 동구,16
F100051396,경상북도 의성군,4
F100051299,경상북도 의성군,5
F100043153,충청북도,11
F100025310,부산광역시 금정구,8
F100024658,부산광역시 금정구,21
F100023800,부산광역시 금정구,14
F100028699,인천광역시 계양구,5
F100025544,부산광역시,15
F100063582,서울주택도시공사,15
F100037074,경기도 의정부시,18
F100047598,전라남도 여수시,4
F100037581,경기도 성남시,5
F100037111,경기도 양평군,28
F100022376,서울특별시 서대문구,24
F100025223,부산광역시 수영구,6
F100024628,부산광역시 동래구,21
F100024657,부산광역시 동래구,21
F100020783,서울특별시 강북구,16
F100008805,한국동서발전(주),24
F100062868,공무원연금공단,10
F100062935,공무원연금공단,15
F100048440,전라남도 장성군,5
F100047324,전라남도 장성군,5
F100040045,강원도 동해시,26
F100050022,전라남도 목포시,7
F100022883,부산광역시 기장군,5
F100041273,충청북도 단양군,73
F100021837,서울특별시 강북구,9
F100041262,충청북도 영동군,4
F100021838,서울특별시 강북구,9
F100016727,국토교통부,16
F100043732,충청남도 부여군,24
F100044079,충청남도 부여군,25
F100044042,충청남도 부여군,32
F100056345,제주특별자치도,4
F100056356,제주특별자치도,5
F100018737,과학기술정보통신부 중앙전파관리소,6
F100050343,경상북도 의성군,68
F100047458,전라남도 함평군,6
F100031611,광주광역시 동구,21
F100009427,한국수력원자력(주),5
F100027169,대구광역시,3
F100055196,경상남도 통영시,12
F100023656,부산광역시 해운대구,25
F100031318,광주광역시 동구,16
F100023881,부산광역시 동래구,20
F100058297,농림수산식품교육문화정보원,9
F100020540,서울특별시 양천구,11
F100023599,부산광역시 사상구,16
F100029734,인천교통공사,7
F100020302,서울특별시 양천구,25
F100051475,경상북도 영천시,17
F100050387,경상북도 영천시,12
F100024690,부산광역시 수영구,4
F100059657,통영관광개발공사,14
F100066739,안산도시공사,8
F100029785,인천광역시,9
F100029783,인천광역시,8
F100040926,강원도 삼척시,11
F100013563,농림축산식품부,6
F100040922,강원도 삼척시,7
F100040634,강원도 삼척시,6
F100016225,제주국제자유도시개발센터,16
F100039962,강원도 삼척시,18
F100044057,충청남도 서천군,26
F100040305,강원도 삼척시,18
F100044304,충청남도 서천군,26
F100044009,충청남도 서천군,24
F100043853,충청남도 서천군,23
F100040138,강원도 정선군,27
F100043496,충청남도 논산시,25
F100043474,충청남도 논산시,16
F100043616,충청남도 논산시,27
F100021555,서울특별시 성북구,8
F100030746,인천광역시 서구,5
F100037740,경기도 양평군,17
F100053855,경상남도 거제시,6
F100038894,경기도 양평군,8
F100049314,전라남도 진도군,3
F100030757,인천광역시 부평구,5
F100038905,경기도 양평군,8
F100033851,울산광역시 북구,6
F100041824,충청북도,16
F100047315,전라남도 진도군,5
F100019212,한국원자력연구원,7
F100031301,광주광역시 광산구,17
F100007116,중소벤처기업진흥공단,18
F100007136,중소벤처기업진흥공단,6
F100007133,중소벤처기업진흥공단,8
F100054608,경상남도 거제시,5
F100015194,국토교통과학기술진흥원,12
F100025102,부산광역시 기장군,6
F100053369,경상남도 함양군,11
F100019205,과학기술정보통신부 중앙전파관리소,3
F100039100,경기도 수원시,11
F100055933,제주특별자치도,8
F100022410,서울특별시 성동구,6
F100044827,충청남도 서천군,12
F100044826,충청남도 서천군,10
F100031446,광주광역시 동구,6
F100023662,부산광역시 금정구,25
F100044454,충청남도 보령시,5
F100033155,대전광역시 서구,6
F100040452,강원도 삼척시,16
F100066743,한국장학재단,9
F100040080,강원도 삼척시,15
F100055546,제주특별자치도,4
F100043753,충청남도 보령시,18
F100058488,대전광역시시설관리공단,15
F100024678,부산광역시 기장군,11
F100024561,부산광역시 영도구,6
F100020498,서울특별시 영등포구,18
F100014070,국토교통부,9
F100022397,서울특별시 동대문구,10
F100040232,강원도 삼척시,19
F100048868,전라남도 담양군,27
F100034336,울산광역시 북구,9
F100048910,전라남도 담양군,24
F100008785,한국수력원자력(주),10
F100041872,충청북도 충주시,25
F100048231,전라남도 담양군,25
F100066180,사립학교교직원연금공단,32
F100066183,사립학교교직원연금공단,36
F100035332,경기도 시흥시,5
F100007236,기술보증기금,5
F100006550,기술보증기금,5
F100048433,전라남도 진도군,3
F100006579,기술보증기금,5
F100017915,국토교통부,34
F100017914,국토교통부,36
F100026509,대구광역시,24
F100020353,서울특별시 서대문구,26
