"농촌진흥청 국립식량과학원_참깨지적시험결과성적",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"대구광역시_가로망주정차현황정보서비스",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
"문화재청 국립무형유산원_공방 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_공예품 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_기증기탁 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 공연 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 전시 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형문화재 체험교육 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록영화(16mm) 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 사진 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 영상 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 기록화 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 디지털 보고서 목록 조회 서비스",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0
"문화재청 국립무형유산원_무형유산 음원자료 디지털 해설서 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 전승자 구술채록 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_무형유산 학술보고서 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_소장 음원자료 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"문화재청 국립무형유산원_전수교육관 정보 목록 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"부산광역시_부산버스정보시스템",6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,0,0,0
"식품의약품안전처_마스크 관련 업체 행정처분 정보",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
