기관명,전체데이터,오류데이터
경상북도교육청 경상북도교육정보센터(D537),2856,0
경상북도교육청 경상북도교육청구미도서관(D538),115525,44967
경상북도교육청 경상북도교육청문화원(D539),207275,850
경상북도교육청 경상북도교육청상주도서관(D540),825,2
경상북도교육청 경상북도교육청안동도서관(D541),185,0
경상북도교육청 경상북도교육청연구원(D542),20,0
경상북도교육청 경상북도교육청영주선비도서관(D543),31158,12457
경상북도교육청 경상북도교육청정보센터(D544),211,0
경상북도교육청 경상북도군위교육지원청(D545),156,0
경상북도교육청 경상북도김천교육지원청(D546),256,76
경상북도교육청 경상북도립안동도서관(D547),148,74
경상북도교육청 경상북도문경교육지원청(D548),277,1
경상북도교육청 경상북도봉화교육지원청(D549),562,2
경상북도교육청 경상북도상주교육지원청(D550),357,31
경상북도교육청 경상북도성주교육지원청(D551),421,75
경상북도교육청 경상북도안동교육지원청(D552),372,0
경상북도교육청 경상북도영덕교육지원청(D553),21,0
경상북도교육청 경상북도영양교육지원청(D554),2431,123
경상북도교육청 경상북도영주교육지원청(D555),1117,0
경상북도교육청 경상북도영천교육지원청(D556),86,0
경상북도교육청 경상북도예천교육지원청(D557),211,0
경상북도교육청 경상북도울릉교육지원청(D558),49,5
경상북도교육청 경상북도울진교육지원청(D559),670,59
경상북도교육청 경상북도의성교육지원청(D560),212,0
경상북도교육청 경상북도청도교육지원청(D561),258,0
경상북도교육청 경상북도청송교육지원청(D562),227,4
경상북도교육청 경상북도칠곡교육지원청(D563),107,0
경상북도교육청 경상북도포항교육지원청(D564),104,49
경상북도교육청연수원(D565),26727,136
경주시시설관리공단(D566),759,0
경찰청 강원도경찰청(D567),3557,0
경찰청 경기도남부경찰청(D568),7724,1931
경찰청 경기도북부경찰청(D569),8852,0
경찰청 경상남도경찰청(D570),5347,0
경찰청 경상북도경찰청(D571),2075,0
경찰청 광주광역시경찰청(D572),2976,132
경찰청 대구광역시경찰청(D573),2678,413
경찰청 대전광역시경찰청(D574),1961,70
경찰청 부산광역시경찰청(D575),5787,161
경찰청 서울특별시경찰청(D576),42576,620
경찰청 울산광역시경찰청(D577),1631,51
경찰청 인천광역시경찰청(D578),6552,3
경찰청 전라남도경찰청(D579),4514,112
경찰청 전라북도경찰청(D580),3754,823
경찰청 제주특별자치도경찰청(D581),2544,0
경찰청 충청남도경찰청(D582),4915,220
경찰청 충청북도경찰청(D583),1881,355
공공데이터활용지원센터(D584),3206692,1034
과학기술정보통신부 국립과천과학관(D585),16636,1
과학기술정보통신부 국립전파연구원(D586),65835,27457
과학기술정보통신부 국립중앙과학관(D587),37958,0
과학기술정보통신부 우정사업본부(D588),1116166,37517
과학기술정보통신부 중앙전파관리소(D589),104724,150
광주광역시교육청(D590),96,0
교육부 국립국제교육원(D591),72561,657
교육부 국립특수교육원(D592),2470,398
교육부 국사편찬위원회(D593),863258,154417
교육부 중앙교육연수원(D594),19472,174
국토교통부 국토지리정보원(D595),3315803,609021
국토교통부 서울지방국토관리청(D596),36,0
국토교통부 중앙토지수용위원회(D597),178047,111778
국토교통부 철도특별사법경찰대(D598),851,174
기상청 항공기상청(D599),319858,45735
농림축산식품부 국립농산물품질관리원(D600),8488524,2101439
농림축산식품부 국립종자원(D601),7703552,202500
농림축산식품부 농림축산검역본부(D602),1169936,22129
농림축산식품부 농식품공무원교육원(D603),11281,10
농촌진흥청 국립농업과학원(D604),422,1
대구광역시교육청(D605),2121945,545941
대구광역시교육청 대구2.28기념학생도서관(D606),25608,77
대구광역시교육청 대구광역시교육연수원(D607),120,0
대구광역시교육청 대구광역시남부교육지원청(D608),4905,646
대구광역시교육청 대구광역시달성교육지원청(D609),74,0
대구광역시교육청 대구광역시동부교육지원청(D610),348,0
대구광역시교육청 대구광역시립남부도서관(D611),92559,10149
대구광역시교육청 대구광역시립달성도서관(D612),48805,1
대구광역시교육청 대구광역시립동부도서관(D613),40232,0
대구광역시교육청 대구광역시립두류도서관(D614),33488,42
대구광역시교육청 대구광역시립북부도서관(D615),122658,1850
대구광역시교육청 대구광역시립서부도서관(D616),126368,21610
대구광역시교육청 대구광역시립수성도서관(D617),124653,13814
대구광역시교육청 대구광역시립중앙도서관(D618),19382,0
대구광역시교육청 대구광역시서부교육지원청(D619),183721,112071
대구광역시교육청 대구광역시유아교육진흥원(D620),51558,7729
대구광역시교육청 대구교육낙동강수련원(D621),36,0
대구광역시교육청 대구교육박물관(D622),10,0
대구광역시교육청 대구교육팔공산수련원(D623),12,0
대구광역시교육청 대구교육해양수련원(D624),24,0
대구광역시교육청 대구미래교육연구원(D625),5011,0
대구광역시교육청 대구학생문화센터(D626),115,0
대전광역시교육청(D627),680,1
대한민국학술원(D628),3402,0
동대문구시설관리공단(D629),1877,162
문화재청 궁능유적본부(D630),212252,239
문화체육관광부 국립국악원(D631),25156,2813
문화체육관광부 국립민속박물관(D632),79470,4337
문화체육관광부 국립아시아문화전당(D633),19346,58
문화체육관광부 국립중앙극장(D634),51086,7906
문화체육관광부 국립중앙도서관(D635),0,0
문화체육관광부 국립중앙박물관(D636),0,0
문화체육관광부 국립한글박물관(D637),11254,2309
문화체육관광부 대한민국역사박물관(D638),214952,100644
문화체육관광부 대한민국예술원(D639),174,0
문화체육관광부 한국예술종합학교(D640),39702,254
문화체육관광부 한국정책방송원(D641),29415088,22596
문화체육관광부 해외문화홍보원(D642),0,0
보건복지부 국립공주병원(D643),778,128
보건복지부 국립나주병원(D644),5534,451
보건복지부 국립부곡병원(D645),3733,885
보건복지부 국립소록도병원(D646),49679,14735
보건복지부 국립재활원(D647),23975,1760
보건복지부 국립정신건강센터(D648),428743,63002
보건복지부 국립춘천병원(D649),3812,295
보건복지부 오송생명과학단지지원센터(D650),138,0
