id,name
F100004193,경찰청 인천광역시경찰청_관서별 재산범죄 112신고건수_20201231.csv
F100004194,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2019.csv
F100004195,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2011.csv
F100004196,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2012.csv
F100004198,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2014.csv
F100004199,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2015.csv
F100004200,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2016.csv
F100004381,원어민중국어보조교사(CPIK)_홈페이지_사업 담당자 조직도.csv
F100004382,2018_국가별.csv
F100004383,2020 국가별 입학신청 현황.csv
F100004384,2018_대학별_과정별.csv
F100004385,2020 학교별 입학신청 현황.csv
F100004386,2020 국가별 입학신청 현황.csv
F100004388,2020 국가별 입학신청 현황.csv
F100004389,2020 학교별 입학신청 현황.csv
F100004391,2020 국립국제교육원한국유학종합시스템유학박람회.csv
F100004392,2020 국가별 장학정보.csv
F100004393,국립국제교육원_한국유학종합시스템_접속통계_20191223.csv
F100004400,오송단지+입주기업+현황(20190910)수정.csv
F100004401,오송생명과학단지지원센터_생산시설 입주기관 현황_20200915.csv
F100004404,2.1.국립부곡병원 약물중독자 치료보호실적(2016년).csv
F100004405,2017년 국립부곡병원 약물중독자 치료보호실적.csv
F100004406,국립부곡병원 약물중독자 치료보호실적(2018년).csv
F100004407,국립부곡병원 약물중독자 치료보호실적(2019년).csv
F100004408,국립부곡병원 약물중독자 치료보호실적(2020년).csv
F100004505,2019년 상반기 진료수입금 현황_20190910.csv
F100004507,2018년 상반기 진료수입금 현황_20180723.csv
F100004508,2017년 진료수입금 현황.csv
F100004509,2016년 하반기 진료수입금 현황.csv
F100004510,2016년 상반기 진료수입금 현황.csv
F100004511,2015년 진료수입금 현황.csv
F100004512,2014년 진료수입금 현황.csv
F100004513,2019년 하반기 진료수입금 현황_20200302.csv
F100004514,2020년 상반기 진료수입금 현황.csv
F100004467,과별 진료현황 정보(2014년도).csv
F100004468,과별 진료현황 정보(2016년도).csv
F100004469,과별 진료현황 정보(2015년도).csv
F100004572,전국정신건강증진센터주소록_20131231.csv
F100004573,전국정신건강증진센터주소록(2014).csv
F100004574,정신요양시설.csv
F100004575,정신의료기관.csv
F100004576,자살예방센터.csv
F100004577,자살예방센터(2017.7월).csv
F100004579,사회복귀시설_cng.csv
F100004581,중독관리통합지원센터(17.7월)_cng.csv
F100004583,정신건강관련전체기관정보_2019.csv
F100004584,신착의학도서목록_20140930.csv
F100004585,신착의학도서목록_20130331.csv
F100004586,신착의학도서목록_20140331.csv
F100004587,신착의학도서목록_20130930.csv
F100004588,신착의학도서목록_20131231.csv
F100004589,2015년 신착도서 목록(국내서).csv
F100004590,2015년 신착도서 목록(해외서).csv
F100004591,2016년 상반기 신착도서목록.csv
F100004515,2020년 하반기 진료수입금 현황.csv
F100004522,장애원인별 통계정보(2013년).csv
F100004523,장애원인별 통계정보(2014년).csv
F100004525,장애원인별 통계정보(2016).csv
F100004527,상병별+통계정보(2014년).csv
F100004528,상병(손상)별 환자 통계정보(2016).csv
F100004529,상병(장애질환)별 환자통계정보(2015).csv
F100004530,상병(손상)별 환자 통계정보(2015) (2).csv
F100004532,진료과별 통계정보(2013).csv
F100004533,과별+진료현황(2015년도).csv
F100004534,진료과별 내원환자 통계정보(2016).csv
F100004537,의료종별+통계정보(2015).csv
F100004538,의료종별 통계정보(2016).csv
F100004539,병상별 입원환자통계정보(2013년).csv
F100004541,병상별 입원환자통계(2016년도).csv
F100004542,병상별 입원환자 통계(2014년).csv
F100004543,입원환자 유형(보험유형)별 평균입원기간(2013년도).csv
F100004544,입원환자 유형(나이 성)별 평균입원기간(2013년도).csv
F100004545,입원환자 유형(장애유형)별 평균입원기간(2013년도).csv
F100004546,입원환자_보험유형별_평균입원기간(2015년도).csv
F100004547,입원환자 나이성별 평균입원기간(2015년도).csv
F100004548,입원환자 지역별 평균입원기간(2015년도).csv
F100004550,입원환자 나이성별 평균입원기간(2015년도).csv
F100004551,입원환자 보험유형별 평균입원기간(2015년도).csv
F100004552,입원환자 장애유형별 평균입원기간(2015년도).csv
F100004553,입원환자 지역별 평균입원기간(2015년도).csv
F100004554,입원환자 유형(지역)별 평균입원기간(2013년도).csv
F100004555,입원환자_장애유형별_평균입원기간(2016년도).csv
F100004556,입원환자_지역별_평균입원기간(2016년도).csv
F100004558,입원환자_나이성별_평균입원기간(2016년도).csv
F100004570,의료분쟁 조정분석 현황(2015.6.1.).csv
F100004571,의료분쟁 상담분석 현황.csv
F100004614,보건복지부 국립춘천병원_2014년 3월 입원 및 외래 수입금 현황.csv
F100004615,보건복지부 국립춘천병원_2014년 5월 입원 및 외래 수입금 현황.csv
F100004617,보건복지부 국립춘천병원_2014년 6월 입원 및 외래 수입금 현황.csv
F100004618,보건복지부 국립춘천병원_2014년 7월 입원 및 외래 수입금 현황.csv
F100004619,보건복지부 국립춘천병원_2014년 8월 입원 및 외래 수입금 현황.csv
F100004620,보건복지부 국립춘천병원_2015년 9월 입원 및 외래 수입금 현황.csv
F100004621,보건복지부 국립춘천병원_2014년 9월 입원 및 외래 수입금 현황.csv
F100004622,보건복지부 국립춘천병원_2014년 11월 입원 및 외래 수입금 현황.csv
F100004624,보건복지부 국립춘천병원_2014년 10월 입원 및 외래 수입금 현황.csv
F100004625,보건복지부 국립춘천병원_2015년 3월 입원 및 외래 수입금 현황.csv
F100004626,보건복지부 국립춘천병원_2015년 6월 입원 및 외래 수입금 현황.csv
F100004627,"보건복지부 국립춘천병원_2017년 1분기 외래, 입원 수입금 현황.CSV"
F100004628,"보건복지부 국립춘천병원_2017년 2분기 외래, 입원 수입금 현황.CSV"
F100004629,"보건복지부 국립춘천병원_2018년 1분기 외래, 입원 수입금 현황.CSV"
F100004630,"보건복지부 국립춘천병원_2018년 2분기 외래, 입원 수입금 현황.CSV"
F100004632,"보건복지부 국립춘천병원_2018년 4분기 외래, 입원 수입금 현황.CSV"
F100004633,2019년 1월~3월 입원 및 외래 수입금 현황.csv
F100004634,"국립춘천병원_외래, 입원 수입금 현황_201901~201906.csv"
F100004635,"보건복지부 국립춘천병원_2017년 4분기 외래, 입원 수입금 현황.CSV"
F100004592,"2017년 1, 2분기 국내신착도서목록.csv"
F100004594,2016년 하반기 신착도서목록.csv
F100004595,서지정보_20190930.csv
F100004596,서지정보_2019(2분기).csv
F100004597,서지정보_2019(1분기).csv
F100004599,서지정보_2019(4분기).csv
F100004674,2017년 입원환자 현황(하반기).csv
F100004675,2018년 1월~6월 입원환자 현황(상반기).csv
F100004676,2018년 1월~12월 입원환자 현황.csv
F100004677,국립춘천병원_입원 재원자수 현황_201901~201906.csv
F100004679,입원환자_2014년5월.csv
F100004680,입원환자_2014년4월.csv
